,location,screen_name
0,CA,CecilioBarrera
1,CA,jclabb
2,CA,lvdoxies
3,CA,Nungaray_21
4,CA,GeorgeKidd9
5,CA,mattlogical
6,CA,datngu
7,CA,Def_Tim
8,CA,LarsMaischak
9,CA,Tom_Sjolund
10,CA,JedClampet4
11,CA,puxxled
12,CA,ogkeyser
13,CA,RickHorowitz
14,CA,CandykaneKitten
15,CA,JADE_CAST91
16,CA,MaurineEdwards
17,CA,realjkp1985
18,CA,ShastaLake1975
19,CA,Britinnv
20,CA,wmdou
21,CA,RusalaamEnt
22,CA,JesseRebellion
23,CA,JonBowzerBauman
24,CA,Krownz
25,CA,anyprophet
26,CA,Sokphath
27,CA,cartercoag
28,CA,JeannieActivist
29,CA,Judd6197606247
30,CA,friday2112
31,CA,CarrieYCastro
32,CA,VINDICATORofYah
33,CA,JilesFenn
34,CA,BohoRae
35,CA,Fleacatt
36,CA,mattfield
37,CA,LaWomanSharon
38,CA,FreeDetergentNo
39,CA,jwalkup
40,CA,MarkKrubsack
41,CA,courtneyjahenry
42,CA,CorpsmanAdamD
43,CA,Highmountain4
44,CA,TheDudeInSF
45,CA,0XFatimaX0
46,CA,YvonneSchwemmer
47,CA,woolymacith
48,CA,TopFresnoNow
49,CA,LeanosJuanita
50,CA,ThichGiacChinh
51,CA,ajstarr10
52,CA,gastlichu
53,CA,MrJonnyJames
54,CA,berkeleyjess
55,CA,LearnIt2EarnIt
56,CA,ZNassimian
57,CA,ColleranUSA
58,CA,Sonnypeoplepcco
59,CA,JasonMills1972
60,CA,DatatechAg
61,CA,max_parsons21
62,CA,AgNetWest
63,CA,morganbrooks
64,CA,doctormalibu
65,CA,AnotherEitan
66,CA,sabrinawhill
67,CA,MAS_KFCF
68,CA,AlexBackusTV
69,CA,tanyaboza
70,CA,EarthenBlueSky7
71,CA,MarkAReynolds
72,CA,JunkyardDawg85
73,CA,ScreenCaffeen
74,CA,AnthonyHatche52
75,CA,GalleyBill
76,CA,seanwatson24
77,CA,lizardqueen__
78,CA,CorinnaThomas
79,CA,NoahFrank52
80,CA,neeneebucket
81,CA,POLSFresno
82,CA,mjhughes707
83,CA,KVELDULFGONDLIR
84,CA,marcylauren
85,CA,ELeyew
86,CA,Grxce_isnt_real
87,CA,ShereeNurse
88,CA,philipjLA
89,CA,kathyaking
90,CA,newmedici
91,CA,davequast
92,CA,Safari_Jane
93,CA,AlexShepiro
94,CA,CSUKtown
95,CA,finestofedm
96,CA,JonathanKeller
97,CA,oman_mike
98,CA,NuttallColeman
99,CA,AngelpuppyD
100,CA,rmoultoncapital
101,CA,NapaMediaMania
102,CA,wtjahn
